model_id,org,present_in_latest,present_in_config,present_in_runs_history,variant_count,variants
ai21/jamba-large-1.7,ai21,true,false,true,1,ai21/jamba-large-1.7@reasoning=default
anthropic/claude-3-haiku,anthropic,true,true,true,1,anthropic/claude-3-haiku@reasoning=default
anthropic/claude-3.5-haiku,anthropic,true,true,true,1,anthropic/claude-3.5-haiku@reasoning=default
anthropic/claude-3.5-sonnet,anthropic,true,true,true,1,anthropic/claude-3.5-sonnet@reasoning=default
anthropic/claude-3.7-sonnet,anthropic,true,true,true,1,anthropic/claude-3.7-sonnet@reasoning=default
anthropic/claude-3.7-sonnet:thinking,anthropic,true,true,true,1,anthropic/claude-3.7-sonnet:thinking@reasoning=default
anthropic/claude-haiku-4.5,anthropic,true,true,true,3,anthropic/claude-haiku-4.5@reasoning=default;anthropic/claude-haiku-4.5@reasoning=high;anthropic/claude-haiku-4.5@reasoning=none
anthropic/claude-opus-4,anthropic,true,true,true,1,anthropic/claude-opus-4@reasoning=default
anthropic/claude-opus-4.1,anthropic,true,true,true,3,anthropic/claude-opus-4.1@reasoning=default;anthropic/claude-opus-4.1@reasoning=high;anthropic/claude-opus-4.1@reasoning=none
anthropic/claude-opus-4.5,anthropic,true,true,true,3,anthropic/claude-opus-4.5@reasoning=default;anthropic/claude-opus-4.5@reasoning=high;anthropic/claude-opus-4.5@reasoning=none
anthropic/claude-opus-4.6,anthropic,true,true,true,3,anthropic/claude-opus-4.6@reasoning=default;anthropic/claude-opus-4.6@reasoning=high;anthropic/claude-opus-4.6@reasoning=none
anthropic/claude-sonnet-4,anthropic,true,true,true,3,anthropic/claude-sonnet-4@reasoning=default;anthropic/claude-sonnet-4@reasoning=high;anthropic/claude-sonnet-4@reasoning=none
anthropic/claude-sonnet-4.5,anthropic,true,true,true,3,anthropic/claude-sonnet-4.5@reasoning=default;anthropic/claude-sonnet-4.5@reasoning=high;anthropic/claude-sonnet-4.5@reasoning=none
anthropic/claude-sonnet-4.6,anthropic,true,true,true,3,anthropic/claude-sonnet-4.6@reasoning=default;anthropic/claude-sonnet-4.6@reasoning=high;anthropic/claude-sonnet-4.6@reasoning=none
arcee-ai/trinity-large-thinking,arcee-ai,true,true,false,2,arcee-ai/trinity-large-thinking@reasoning=minimal;arcee-ai/trinity-large-thinking@reasoning=xhigh
baidu/ernie-4.5-300b-a47b,baidu,true,true,true,1,baidu/ernie-4.5-300b-a47b@reasoning=default
baidu/ernie-4.5-vl-424b-a47b,baidu,true,false,true,3,baidu/ernie-4.5-vl-424b-a47b@reasoning=default;baidu/ernie-4.5-vl-424b-a47b@reasoning=none;baidu/ernie-4.5-vl-424b-a47b@reasoning=xhigh
bytedance-seed/seed-1.6,bytedance-seed,true,true,true,3,bytedance-seed/seed-1.6@reasoning=default;bytedance-seed/seed-1.6@reasoning=high;bytedance-seed/seed-1.6@reasoning=none
deepseek/deepseek-chat,deepseek,true,false,true,1,deepseek/deepseek-chat@reasoning=default
deepseek/deepseek-r1,deepseek,true,false,true,3,deepseek/deepseek-r1@reasoning=default;deepseek/deepseek-r1@reasoning=none;deepseek/deepseek-r1@reasoning=xhigh
deepseek/deepseek-v3.2,deepseek,true,true,true,3,deepseek/deepseek-v3.2@reasoning=default;deepseek/deepseek-v3.2@reasoning=high;deepseek/deepseek-v3.2@reasoning=none
google/gemini-2.0-flash-001,google,true,true,true,1,google/gemini-2.0-flash-001@reasoning=default
google/gemini-2.5-flash,google,true,true,true,1,google/gemini-2.5-flash@reasoning=default
google/gemini-2.5-pro,google,true,true,true,1,google/gemini-2.5-pro@reasoning=default
google/gemini-3-flash-preview,google,true,true,true,3,google/gemini-3-flash-preview@reasoning=default;google/gemini-3-flash-preview@reasoning=high;google/gemini-3-flash-preview@reasoning=none
google/gemini-3-pro-preview,google,true,true,true,3,google/gemini-3-pro-preview@reasoning=default;google/gemini-3-pro-preview@reasoning=high;google/gemini-3-pro-preview@reasoning=low
google/gemini-3.1-flash-lite-preview,google,true,true,true,1,google/gemini-3.1-flash-lite-preview@reasoning=default
google/gemini-3.1-pro-preview,google,true,true,true,3,google/gemini-3.1-pro-preview@reasoning=default;google/gemini-3.1-pro-preview@reasoning=high;google/gemini-3.1-pro-preview@reasoning=low
google/gemma-3-27b-it,google,true,true,true,1,google/gemma-3-27b-it@reasoning=default
google/gemma-4-26b-a4b-it,google,true,true,false,2,google/gemma-4-26b-a4b-it@reasoning=none;google/gemma-4-26b-a4b-it@reasoning=xhigh
google/gemma-4-31b-it,google,true,true,false,2,google/gemma-4-31b-it@reasoning=high;google/gemma-4-31b-it@reasoning=none
meta-llama/llama-3.1-8b-instruct,meta-llama,true,false,true,1,meta-llama/llama-3.1-8b-instruct@reasoning=default
meta-llama/llama-4-maverick,meta-llama,true,false,true,1,meta-llama/llama-4-maverick@reasoning=default
meta-llama/llama-4-scout,meta-llama,true,false,true,1,meta-llama/llama-4-scout@reasoning=default
minimax/minimax-01,minimax,false,false,true,1,minimax/minimax-01@reasoning=default
minimax/minimax-m2.5,minimax,true,true,true,3,minimax/minimax-m2.5@reasoning=default;minimax/minimax-m2.5@reasoning=high;minimax/minimax-m2.5@reasoning=low
mistralai/mistral-large-2512,mistralai,true,true,true,1,mistralai/mistral-large-2512@reasoning=default
moonshotai/kimi-k2,moonshotai,true,false,true,1,moonshotai/kimi-k2@reasoning=default
moonshotai/kimi-k2.5,moonshotai,true,true,true,3,moonshotai/kimi-k2.5@reasoning=default;moonshotai/kimi-k2.5@reasoning=high;moonshotai/kimi-k2.5@reasoning=none
moonshotai/kimi-k2.6,moonshotai,true,true,true,2,moonshotai/kimi-k2.6@reasoning=none;moonshotai/kimi-k2.6@reasoning=xhigh
nvidia/nemotron-3-nano-30b-a3b:free,nvidia,true,false,true,3,nvidia/nemotron-3-nano-30b-a3b:free@reasoning=default;nvidia/nemotron-3-nano-30b-a3b:free@reasoning=none;nvidia/nemotron-3-nano-30b-a3b:free@reasoning=xhigh
