rank,model,org,reasoning,avg_score,green_rate,red_rate,refusal_rate,score_2,score_1,score_0,refusal_count,answered_count,nonsense_count,error_count
1,anthropic/claude-opus-4.8@reasoning=none,anthropic,none,1.93,0.95,0.01,0.0,95,4,1,0,100,100,0
2,anthropic/claude-opus-4.8@reasoning=xhigh,anthropic,xhigh,1.9233,0.94,0.01,0.0,94,5,1,0,100,100,0
3,anthropic/claude-sonnet-4.6@reasoning=high,anthropic,high,1.87,0.91,0.03,0.0,91,6,3,0,100,100,0
4,anthropic/claude-sonnet-4.6@reasoning=none,anthropic,none,1.86,0.89,0.02,0.0,89,9,2,0,100,100,0
5,anthropic/claude-opus-4.5@reasoning=high,anthropic,high,1.8433,0.9,0.02,0.0,90,8,2,0,100,100,0
6,anthropic/claude-opus-4.6@reasoning=high,anthropic,high,1.8367,0.87,0.03,0.0,87,10,3,0,100,100,0
7,anthropic/claude-opus-4.6@reasoning=none,anthropic,none,1.7933,0.83,0.03,0.0,83,14,3,0,100,100,0
8,anthropic/claude-opus-4.7@reasoning=none,anthropic,none,1.7833,0.83,0.04,0.0,83,13,4,0,100,100,0
9,anthropic/claude-fable-5@reasoning=xhigh,anthropic,xhigh,1.7562,0.56,0.03,0.33,56,8,3,33,67,100,0
10,anthropic/claude-sonnet-5@reasoning=low,anthropic,low,1.7172,0.8,0.08,0.01,80,11,8,1,99,100,0
11,anthropic/claude-sonnet-5@reasoning=max,anthropic,max,1.7172,0.78,0.03,0.01,78,18,3,1,99,100,0
12,qwen/qwen3.5-397b-a17b@reasoning=high,qwen,high,1.7033,0.78,0.05,0.0,78,17,5,0,100,100,0
13,anthropic/claude-sonnet-4.5@reasoning=high,anthropic,high,1.6767,0.79,0.08,0.0,79,13,8,0,100,100,0
14,anthropic/claude-opus-4.5@reasoning=none,anthropic,none,1.67,0.79,0.11,0.0,79,10,11,0,100,100,0
15,anthropic/claude-fable-5@reasoning=low,anthropic,low,1.6406,0.45,0.04,0.36,45,15,4,36,64,100,0
16,anthropic/claude-haiku-4.5@reasoning=high,anthropic,high,1.64,0.77,0.11,0.0,77,12,11,0,100,100,0
17,anthropic/claude-haiku-4.5@reasoning=none,anthropic,none,1.6267,0.71,0.08,0.0,71,21,8,0,100,100,0
18,anthropic/claude-opus-4.7@reasoning=max,anthropic,max,1.6167,0.74,0.11,0.0,74,15,11,0,100,100,0
19,anthropic/claude-sonnet-4.5@reasoning=none,anthropic,none,1.59,0.74,0.13,0.0,74,13,13,0,100,100,0
20,qwen/qwen3.7-max@reasoning=none,qwen,none,1.5667,0.71,0.13,0.0,71,16,13,0,100,100,0
21,qwen/qwen3.6-plus@reasoning=none,qwen,none,1.5567,0.72,0.14,0.0,72,14,14,0,100,100,0
22,qwen/qwen3.5-397b-a17b@reasoning=none,qwen,none,1.5267,0.69,0.15,0.0,69,16,15,0,100,100,0
23,qwen/qwen3-max-thinking@reasoning=high,qwen,high,1.5033,0.63,0.08,0.0,63,29,8,0,100,100,0
24,moonshotai/kimi-k2.6@reasoning=none,moonshotai,none,1.4933,0.65,0.14,0.0,65,21,14,0,100,100,0
25,minimax/minimax-m3@reasoning=xhigh,minimax,xhigh,1.4767,0.63,0.14,0.0,63,23,14,0,100,100,0
26,minimax/minimax-m3@reasoning=none,minimax,none,1.4367,0.62,0.15,0.0,62,23,15,0,100,100,0
27,x-ai/grok-4.20-multi-agent-beta@reasoning=xhigh,x-ai,xhigh,1.4333,0.64,0.2,0.0,64,16,20,0,100,100,0
28,x-ai/grok-4.20-multi-agent-beta@reasoning=low,x-ai,low,1.43,0.67,0.19,0.0,67,14,19,0,100,100,0
29,xiaomi/mimo-v2.5-pro@reasoning=xhigh,xiaomi,xhigh,1.4233,0.62,0.15,0.0,62,23,15,0,100,100,0
30,qwen/qwen3.6-plus@reasoning=xhigh,qwen,xhigh,1.4167,0.59,0.14,0.0,59,27,14,0,100,100,0
31,openai/gpt-5.6-terra@reasoning=max,openai,max,1.37,0.53,0.12,0.0,53,35,12,0,100,100,0
32,qwen/qwen3.7-max@reasoning=xhigh,qwen,xhigh,1.3333,0.56,0.23,0.0,56,21,23,0,100,100,0
33,x-ai/grok-4.3@reasoning=minimal,x-ai,minimal,1.3033,0.5,0.19,0.0,50,31,19,0,100,100,0
34,openai/gpt-5.6-sol@reasoning=low,openai,low,1.2933,0.47,0.14,0.0,47,39,14,0,100,100,0
35,openai/gpt-5.6-sol@reasoning=max,openai,max,1.2867,0.46,0.13,0.0,46,41,13,0,100,100,0
36,x-ai/grok-4.20-beta@reasoning=xhigh,x-ai,xhigh,1.27,0.54,0.25,0.0,54,21,25,0,100,100,0
37,moonshotai/kimi-k2.6@reasoning=xhigh,moonshotai,xhigh,1.27,0.5,0.19,0.0,50,31,19,0,100,100,0
38,openai/gpt-5.5@reasoning=xhigh,openai,xhigh,1.2667,0.47,0.13,0.0,47,40,13,0,100,100,0
39,x-ai/grok-4.20-beta@reasoning=low,x-ai,low,1.2567,0.56,0.26,0.0,56,18,26,0,100,100,0
40,openai/gpt-5.4@reasoning=none,openai,none,1.25,0.48,0.16,0.0,48,36,16,0,100,100,0
41,nvidia/nemotron-3-super-120b-a12b:free@reasoning=xhigh,nvidia,xhigh,1.2267,0.54,0.3,0.0,54,16,30,0,100,100,0
42,moonshotai/kimi-k2.5@reasoning=none,moonshotai,none,1.2267,0.52,0.28,0.0,52,20,28,0,100,100,0
43,openai/gpt-5.5@reasoning=none,openai,none,1.2233,0.45,0.16,0.0,45,39,16,0,100,100,0
44,openai/gpt-5.5@reasoning=low,openai,low,1.2,0.45,0.18,0.0,45,37,18,0,100,100,0
45,openai/gpt-5.6-terra@reasoning=low,openai,low,1.1967,0.46,0.2,0.0,46,34,20,0,100,100,0
46,openai/gpt-5.6-luna@reasoning=max,openai,max,1.19,0.4,0.18,0.0,40,42,18,0,100,100,0
47,openai/gpt-5.4@reasoning=xhigh,openai,xhigh,1.1667,0.42,0.2,0.0,42,38,20,0,100,100,0
48,anthropic/claude-3.7-sonnet:thinking@reasoning=default,anthropic,default,1.1433,0.49,0.34,0.0,49,17,34,0,100,100,0
49,qwen/qwen3-max-thinking@reasoning=none,qwen,none,1.1433,0.46,0.26,0.0,46,28,26,0,100,100,0
50,openai/gpt-5.2-codex@reasoning=low,openai,low,1.1367,0.45,0.29,0.0,45,26,29,0,100,100,0
51,google/gemini-3-pro-preview@reasoning=low,google,low,1.1267,0.48,0.37,0.0,48,15,37,0,100,100,0
52,anthropic/claude-opus-4.1@reasoning=none,anthropic,none,1.1233,0.43,0.29,0.0,43,28,29,0,100,100,0
53,nvidia/nemotron-3-super-120b-a12b@reasoning=high,nvidia,high,1.1167,0.47,0.35,0.0,47,18,35,0,100,100,0
54,x-ai/grok-4.3@reasoning=xhigh,x-ai,xhigh,1.1167,0.46,0.31,0.0,46,23,31,0,100,100,0
55,anthropic/claude-opus-4.1@reasoning=high,anthropic,high,1.1167,0.42,0.29,0.0,42,29,29,0,100,100,0
56,anthropic/claude-3.5-haiku@reasoning=default,anthropic,default,1.1067,0.5,0.35,0.0,50,15,35,0,100,100,0
57,openai/gpt-5.2@reasoning=none,openai,none,1.1,0.38,0.23,0.0,38,39,23,0,100,100,0
58,openai/gpt-5.5-pro@reasoning=medium,openai,medium,1.0867,0.34,0.2,0.0,34,46,20,0,100,100,0
59,nvidia/nemotron-3-ultra-550b-a55b@reasoning=none,nvidia,none,1.07,0.49,0.42,0.0,49,9,42,0,100,100,0
60,openai/gpt-5.5-pro@reasoning=xhigh,openai,xhigh,1.07,0.36,0.21,0.0,36,43,21,0,100,100,0
61,anthropic/claude-3.5-sonnet@reasoning=default,anthropic,default,1.0633,0.45,0.36,0.0,45,19,36,0,100,100,0
62,openai/gpt-5.3-chat@reasoning=default,openai,default,1.06,0.4,0.31,0.0,40,29,31,0,100,100,0
63,openai/gpt-5.6-luna@reasoning=low,openai,low,1.0567,0.36,0.24,0.0,36,40,24,0,100,100,0
64,openai/gpt-5.1-chat@reasoning=default,openai,default,1.0533,0.45,0.36,0.0,45,19,36,0,100,100,0
65,google/gemini-3.1-pro-preview@reasoning=low,google,low,1.0467,0.37,0.31,0.0,37,32,31,0,100,100,0
66,openai/gpt-5.4-mini@reasoning=xhigh,openai,xhigh,1.0467,0.31,0.22,0.0,31,47,22,0,100,100,0
67,anthropic/claude-3.7-sonnet@reasoning=default,anthropic,default,1.0267,0.43,0.38,0.0,43,19,38,0,100,100,0
68,nvidia/nemotron-3-super-120b-a12b:free@reasoning=none,nvidia,none,1.0233,0.43,0.36,0.0,43,21,36,0,100,100,0
69,openrouter/hunter-alpha@reasoning=none,stealth,none,1.02,0.43,0.38,0.0,43,19,38,0,100,100,0
70,openai/gpt-5.2@reasoning=high,openai,high,1.02,0.28,0.22,0.0,28,50,22,0,100,100,0
71,openai/gpt-5.5-chat@reasoning=default,openai,default,1.0133,0.34,0.27,0.0,34,39,27,0,100,100,0
72,openai/gpt-5-codex@reasoning=default,openai,default,1.0067,0.39,0.35,0.0,39,26,35,0,100,100,0
73,openai/gpt-5.2-codex@reasoning=xhigh,openai,xhigh,1.0067,0.39,0.33,0.0,39,28,33,0,100,100,0
74,anthropic/claude-opus-4@reasoning=default,anthropic,default,0.99,0.34,0.3,0.0,34,36,30,0,100,100,0
75,openai/gpt-5.4-mini@reasoning=high,openai,high,0.9833,0.32,0.31,0.0,32,37,31,0,100,100,0
76,openai/gpt-5.2-codex@reasoning=high,openai,high,0.9733,0.37,0.36,0.0,37,27,36,0,100,100,0
77,moonshotai/kimi-k2.5@reasoning=high,moonshotai,high,0.9533,0.31,0.34,0.0,31,35,34,0,100,100,0
78,google/gemini-3-pro-preview@reasoning=high,google,high,0.9433,0.36,0.41,0.0,36,23,41,0,100,100,0
79,openai/gpt-5.4-mini@reasoning=none,openai,none,0.9433,0.32,0.32,0.0,32,36,32,0,100,100,0
80,nvidia/nemotron-3-ultra-550b-a55b@reasoning=xhigh,nvidia,xhigh,0.9367,0.4,0.46,0.0,40,14,46,0,100,100,0
81,xiaomi/mimo-v2.5-pro@reasoning=none,xiaomi,none,0.9367,0.38,0.41,0.0,38,21,41,0,100,100,0
82,openrouter/healer-alpha@reasoning=none,stealth,none,0.9167,0.37,0.43,0.0,37,20,43,0,100,100,0
83,openai/gpt-5.1@reasoning=default,openai,default,0.8767,0.25,0.31,0.0,25,44,31,0,100,100,0
84,anthropic/claude-sonnet-4@reasoning=none,anthropic,none,0.87,0.29,0.42,0.0,29,29,42,0,100,100,0
85,xiaomi/mimo-v2.5@reasoning=xhigh,xiaomi,xhigh,0.8667,0.35,0.43,0.0,35,22,43,0,100,100,0
86,google/gemini-3.1-pro-preview@reasoning=high,google,high,0.8667,0.31,0.46,0.0,31,23,46,0,100,100,0
87,openrouter/hunter-alpha@reasoning=xhigh,stealth,xhigh,0.8633,0.35,0.45,0.0,35,20,45,0,100,100,0
88,anthropic/claude-sonnet-4@reasoning=high,anthropic,high,0.8533,0.3,0.43,0.0,30,27,43,0,100,100,0
89,openai/gpt-5.1-codex@reasoning=default,openai,default,0.8433,0.32,0.43,0.0,32,25,43,0,100,100,0
90,meta-llama/llama-4-maverick@reasoning=default,meta,default,0.8333,0.28,0.42,0.0,28,30,42,0,100,100,0
91,openai/gpt-5.2-chat@reasoning=default,openai,default,0.83,0.27,0.4,0.0,27,33,40,0,100,100,0
92,openai/gpt-5.3-codex@reasoning=low,openai,low,0.83,0.24,0.37,0.0,24,39,37,0,100,100,0
93,openai/gpt-5@reasoning=default,openai,default,0.82,0.21,0.37,0.0,21,42,37,0,100,100,0
94,z-ai/glm-5-turbo@reasoning=high,z-ai,high,0.78,0.31,0.52,0.0,31,17,52,0,100,100,0
95,nvidia/nemotron-3-super-120b-a12b@reasoning=none,nvidia,none,0.77,0.31,0.57,0.0,31,12,57,0,100,100,0
96,z-ai/glm-5.2@reasoning=xhigh,z-ai,xhigh,0.7467,0.31,0.56,0.0,31,13,56,0,100,100,0
